LOCAL DO TIROTEIO,DATA DO TIROTEIO,HORÁRIO DO TIROTEIO,MORTES?,CIVIS MORTOS,POLICIAIS MORTOS,FERIDOS?,CIVIS FERIDOS,POLICIAIS FERIDOS,OPERAÇÃO POLICIAL?
Av. Cesário de Melo - Santa Cruz| Rio de Janeiro - RJ| Brasil,2016/07/06,21:33:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Santa Cruz| Rio de Janeiro - RJ| Brasil,2016/07/06,21:45:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Marcolino - Santa Cruz| Rio de Janeiro - RJ| Brasil,2016/07/06,20:48:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
R. Dr. Jurumenha - Barro Vermelho| São Gonçalo - RJ| Brasil,2016/07/06,22:01:00,Não Sabe,0,0,Não Sabe,0,0,Não
Rua México - Centro| Rio de Janeiro - RJ| Brasil,2016/07/06,18:00:00,Não Sabe,0,0,Não Sabe,1,0,Não Sabe
Avenida Professor João Brasil - Venda da Cruz| Niterói - RJ| Brasil,2016/07/06,22:21:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Praça Mário Lago - Centro| Rio de Janeiro - RJ| Brasil,2016/07/06,18:10:00,Sim,1,0,Não,0,0,Sim
Rua Vicentina Goularte - Miriambi| São Gonçalo - RJ| Brasil,2016/07/06,18:15:00,Não Sabe,2,0,Não Sabe,3,0,Não
Rua General Belegarde - Engenho Novo| Rio de Janeiro - RJ| Brasil,2016/07/06,22:52:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Avenida Cesário de Melo - Santa Cruz| Rio de Janeiro - RJ| Brasil,2016/07/06,23:01:00,Não,0,0,Não Sabe,0,0,Não Sabe
Maré| Rio de Janeiro - RJ| Brasil,2016/07/06,23:28:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Quintino Bocaiuva| Rio de Janeiro - RJ| Brasil,2016/07/06,23:30:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Cidade de Deus| Rio de Janeiro - RJ| Brasil,2016/07/06,23:43:00,Não,0,0,Não Sabe,0,0,Não Sabe
Morro do Juramento - Vicente de Carvalho| Rio de Janeiro - RJ| Brasil,2016/07/06,23:45:00,Não,0,0,Sim,1,0,Sim
Morro Sao Joao - Sampaio| Rio de Janeiro - RJ| Brasil,2016/07/06,23:00:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Santa Amelia| Belford Roxo - RJ| Brasil,2016/07/07,23:50:00,Não Sabe,0,0,Não Sabe,1,0,Não Sabe
Jacarezinho| Rio de Janeiro - RJ| Brasil,2016/07/07,00:15:00,Não Sabe,0,0,Não Sabe,0,0,Não
Morro Sao Joao - Sampaio| Rio de Janeiro - RJ| Brasil,2016/07/07,00:25:00,Não Sabe,0,0,Não Sabe,0,0,Sim
Muito tito em frente a churrascaria Toca do Boi,2016/07/07,00:35:00,Não,0,0,Não,0,0,Não
Praça Seca| Rio de Janeiro - RJ| Brasil,2016/07/07,00:43:00,Sim,0,0,Não Sabe,0,0,Sim
Rua Japoara - Ricardo de Albuquerque| Rio de Janeiro - RJ| Brasil,2016/07/06,23:30:00,Não Sabe,1,0,Não Sabe,0,0,Sim
Rua H Isaac Zaidman - Pavuna| Rio de Janeiro - RJ| Brasil,2016/07/07,00:20:00,Não,0,0,Sim,0,0,Sim
Largo da Carioca - Centro| Rio de Janeiro - RJ| Brasil,2016/07/06,18:10:00,Não Sabe,1,0,Não Sabe,0,0,Não Sabe
Estrada de Madureira - Jardim Paraoso| Nova Iguaçu - RJ| Brasil,2016/07/07,02:50:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Via Light - Centro| Nova Iguaçu - RJ| Brasil,2016/07/07,02:53:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Magalhães Castro - Riachuelo| Rio de Janeiro - RJ| Brasil,2016/07/05,23:15:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Magalhães Castro - Riachuelo| Rio de Janeiro - RJ| Brasil,2016/07/05,23:15:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Duque de Caxias - RJ| Brasil,2016/07/06,22:00:00,Sim,1,0,Sim,1,0,Não
Rua Iguaba Grande - Pavuna| Rio de Janeiro - RJ| Brasil,2016/07/07,09:00:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Maré| Rio de Janeiro - RJ| Brasil,2016/07/07,09:54:00,Não,0,0,Sim,0,0,Sim
Rua do Cajá - Penha| Rio de Janeiro - RJ| Brasil,2016/07/07,10:31:00,Não,0,0,Não,0,0,Sim
Praça Seca| Rio de Janeiro - RJ| Brasil,2016/07/07,10:36:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Estr. Granja - Palhada| Nova Iguaçu - RJ| Brasil,2016/07/04,15:18:00,Não,3,5,Não Sabe,0,0,Sim
Rua Joaquim de Queiroz - Complexo do Alemão| Rio de Janeiro - RJ| Brasil,2016/07/07,10:40:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Guaiúba - Acari| Rio de Janeiro - RJ| Brasil,2016/07/07,10:38:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Estrada do Camboatá - Guadalupe| Rio de Janeiro - RJ| Brasil,2016/07/07,10:43:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Duque de Caxias - RJ| Brasil,2016/07/07,11:12:00,Não Sabe,0,0,Sim,0,0,Não Sabe
Av. Antares - Santa Cruz| Rio de Janeiro - RJ| Brasil,2016/07/07,11:15:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Fidélis de Carvalho - Pavuna| Rio de Janeiro - RJ| Brasil,2016/07/07,11:17:00,Não Sabe,0,0,Sim,0,0,Sim
Rua dos Coqueiros - Santa Cruz da Serra| Duque de Caxias - RJ| Brasil,2016/07/06,22:10:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Lins de Vasconcelos - Lins de Vasconcelos| Rio de Janeiro - State of Rio de Janeiro| Brazil,2016/07/07,11:22:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Baronesa do Engenho Novo - Engenho Novo| Rio de Janeiro - RJ| Brasil,2016/07/05,20:30:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Lins De Vasconcelos próximo ao 640 - Lins de Vasconcelos| Rio de Janeiro - RJ| Brasil,2016/07/07,12:48:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Lins De Vasconcelos próximo ao 640 - Lins de Vasconcelos| Rio de Janeiro - RJ| Brasil,2016/07/07,12:48:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Parque Paulista| Duque de Caxias - RJ| Brasil,2016/07/06,13:02:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Goiás - Centro| São João de Meriti - RJ| Brasil,2016/07/07,13:03:00,Sim,1,0,Não,0,0,Não
Rua Eden - Lins de Vasconcelos| Rio de Janeiro - RJ| Brasil,2016/07/07,14:01:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Hannibal Porto próximo ao 601 - Irajá| Rio de Janeiro - RJ| Brasil,2016/07/07,14:30:00,Não Sabe,0,0,Não Sabe,0,0,Sim
Av. União - Santa Terezinha| Mesquita - RJ| Brasil,2016/07/07,15:13:00,Não Sabe,0,0,Não Sabe,0,0,Não
Rua Álvares de Azevedo - Cachambi| Rio de Janeiro - RJ| Brasil,2016/07/07,03:45:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Morro dos Cabritos - Lagoa| Rio de Janeiro - RJ| Brasil,2016/07/07,15:57:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Praça Seca| Rio de Janeiro - RJ| Brasil,2016/07/07,16:57:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Álvares de Azevedo - Cachambi| Rio de Janeiro - RJ| Brasil,2016/07/07,04:24:00,Sim,1,0,Sim,1,0,Sim
Praça Seca| Rio de Janeiro - RJ| Brasil,2016/07/07,17:14:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Baronesa,2016/07/07,17:17:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
São José Operário| Praça Seca,2016/07/07,17:24:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Barão - Praça Seca| RJ| Brasil,2016/07/07,17:30:00,Não Sabe,0,190,Não Sabe,0,0,Não Sabe
Rua Barão - Praça Seca| Rio de Janeiro - RJ| Brasil,2016/07/07,17:34:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Cangulo| Duque de Caxias - RJ| Brasil,2016/07/07,18:08:00,Não Sabe,0,0,Não Sabe,0,0,Sim
Leme| Rio de Janeiro - RJ| Brasil,2016/07/07,18:30:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Estrada Rio D\'ouro - Pavuna| Rio de Janeiro - RJ| Brasil,2016/07/07,18:59:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Mogiqui - Costa Barros| Rio de Janeiro - RJ| Brasil,2016/07/07,19:21:00,Não Sabe,0,0,Não Sabe,0,0,Não
Rua São Francisco Xavier - Maracanã| Rio de Janeiro - RJ| Brasil,2016/07/07,20:23:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Jorge Rudge - Vila Isabel| Rio de Janeiro - RJ| Brasil,2016/07/07,20:20:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Jorge Rudge - Vila Isabel| Rio de Janeiro - RJ| Brasil,2016/07/07,20:15:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Jorge Rudge - Vila Isabel| Rio de Janeiro - RJ| Brasil,2016/07/07,20:15:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Nádia Maria de Menezes - Jardim Santo Antonio| São João de Meriti - RJ| Brasil,2016/07/07,21:35:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Comandante Ari Parreiras - Porto Velho| São Gonçalo - RJ| Brasil,2016/07/07,22:14:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua afonso guimaraes 47,2016/07/07,22:13:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Duque de Caxias - RJ| Brasil,2016/07/07,22:55:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Antônio Basílio - Tijuca| Rio de Janeiro - RJ| Brasil,2016/07/07,23:09:00,Sim,1,0,Não Sabe,0,0,Não Sabe
Rua ivanildo alves,2016/07/07,23:15:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Av. Bento Ribeiro Dantas - Maré| Rio de Janeiro - RJ| Brasil,2016/07/07,23:16:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Emílio Gomes| Duque de Caxias - RJ| Brasil,2016/07/07,22:07:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Estrada Do Magarca próximo ao 1284 - Campo Grande| Rio de Janeiro - RJ| Brasil,2016/07/07,23:35:00,Sim,3,2,Sim,12,0,Não
Rua da Jangada - Penha Circular| Rio de Janeiro - RJ| Brasil,2016/07/08,00:45:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Sarapuí - Chatuba| Mesquita - RJ| Brasil,2016/07/08,01:45:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Morro dos Pinheiros| Teresópolis - RJ| Brasil,2016/07/08,04:45:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Bem-Te-VI - Galeão| Rio de Janeiro - RJ| Brasil,2016/07/08,07:10:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Pavuna| Rio de Janeiro - RJ| Brasil,2016/07/08,07:02:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Iguaba Grande - Pavuna| Rio de Janeiro - RJ| Brasil,2016/07/08,07:48:00,Não Sabe,0,0,Não Sabe,0,0,Sim
Rua Lima Drumond - Váz Lobo| Rio de Janeiro - RJ| Brasil,2016/07/08,08:02:00,Não Sabe,0,10,Não Sabe,0,0,Sim
Estrada José Rucas - Penha| Rio de Janeiro - RJ| Brasil,2016/07/08,09:15:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
Rua Dez - Morro de São Bento| Santos - SP| Brasil,2015/12/01,10:44:00,Não Sabe,0,0,Não Sabe,0,0,Não Sabe
